dpt,slug,name,clean_name,real_name,postal_code,insee_code,long_deg,lat_deg
7,saint-fortunat-sur-eyrieux,SAINT-FORTUNAT-SUR-EYRIEUX,saint fortunat sur eyrieux,Saint-Fortunat-sur-Eyrieux,7360,7237,4.66667,44.8333
7,mauves,MAUVES,mauves,Mauves,7300,7152,4.83333,45.0333
7,ozon-07,OZON,ozon,Ozon,7370,7169,4.81667,45.1667
7,valgorge,VALGORGE,valgorge,Valgorge,7110,7329,4.11667,44.5833
7,saint-barthelemy-le-meil,SAINT-BARTHELEMY-LE-MEIL,saint barthelemy le meil,Saint-Barthélemy-le-Meil,7160,7215,4.5,44.9
7,vallon-pont-d-arc,VALLON-PONT-D'ARC,vallon pont d arc,Vallon-Pont-d'Arc,7150,7330,4.4,44.4
7,lyas,LYAS,lyas,Lyas,7000,7146,4.58333,44.75
7,chaneac,CHANEAC,chaneac,Chanéac,7310,7054,4.31667,44.95
7,saint-paul-le-jeune,SAINT-PAUL-LE-JEUNE,saint paul le jeune,Saint-Paul-le-Jeune,7460,7280,4.15,44.3333
7,lagorce-07,LAGORCE,lagorce,Lagorce,7150,7126,4.41667,44.45
7,intres,INTRES,intres,Intres,7320,7103,4.35,44.9833
7,saint-jacques-d-atticieux,SAINT-JACQUES-D'ATTICIEUX,saint jacques d atticieux,Saint-Jacques-d'Atticieux,7340,7243,4.66667,45.3333
7,mayres-07,MAYRES,mayres,Mayres,7330,7153,4.11445,44.6656
7,saint-marcel-d-ardeche,SAINT-MARCEL-D'ARDECHE,saint marcel d ardeche,Saint-Marcel-d'Ardèche,7700,7264,4.61667,44.3167
7,limony,LIMONY,limony,Limony,7340,7143,4.76667,45.35
7,berrias-et-casteljau,BERRIAS-ET-CASTELJAU,berrias et casteljau,Berrias-et-Casteljau,7460,7031,4.20028,44.3748
7,davezieux,DAVEZIEUX,davezieux,Davézieux,7430,7078,4.71667,45.25
